name,score,price
"design",0.53623855,4016.0
"dev",0.59479,4016.0
"study",0.57947093,2690.0
"gaming",0.44556555,2690.0
"design",0.44898492,2690.0
"dev",0.5381204,2690.0
"study",0.56880397,2099.0
"gaming",0.48245656,2099.0
"design",0.4812391,2099.0
"dev",0.5355194,2099.0
"study",0.60499316,3299.0
"gaming",0.5037336,3299.0
"design",0.5138869,3299.0
"dev",0.5706736,3299.0
"study",0.6294677,3999.0
"gaming",0.5134238,3999.0
"design",0.533966,3999.0
"dev",0.59293044,3999.0
"study",0.6023775,3599.0
"gaming",0.50133026,3599.0
"design",0.51845443,3599.0
"dev",0.5728844,3599.0
"study",0.63025004,3099.0
"gaming",0.5039848,3099.0
"design",0.52120984,3099.0
"dev",0.5891646,3099.0
"study",0.6736851,5290.0
"gaming",0.5371007,5290.0
"design",0.59747696,5290.0
"dev",0.66407347,5290.0
"study",0.6030412,3499.0
"gaming",0.5013866,3499.0
"design",0.518575,3499.0
"dev",0.5729831,3499.0
"study",0.60827166,6899.0
"gaming",0.5161838,6899.0
"design",0.5486347,6899.0
"dev",0.6015096,6899.0
"study",0.52865756,2099.0
"gaming",0.4675768,2099.0
"design",0.44887272,2099.0
"dev",0.5009269,2099.0
"study",0.676008,6090.0
"gaming",0.57514876,6090.0
"design",0.63001436,6090.0
"dev",0.67088044,6090.0
"study",0.5711848,2619.0
"gaming",0.478189,2619.0
"design",0.47959325,2619.0
"dev",0.53468764,2619.0
"study",0.5985679,3069.0
"gaming",0.50318795,3069.0
"design",0.5127196,3069.0
"dev",0.56971836,3069.0
"study",0.60914415,2890.0
"gaming",0.5040015,2890.0
"design",0.5151144,2890.0
"dev",0.5720571,2890.0
"study",0.61047566,3546.0
"gaming",0.50419915,3546.0
"design",0.51488304,3546.0
"dev",0.5714886,3546.0
"study",0.6361049,5307.0
"gaming",0.5334785,5307.0
"design",0.53745973,5307.0
"dev",0.5970418,5307.0
"study",0.62632185,3119.0
"gaming",0.53221637,3119.0
"design",0.5344365,3119.0
"dev",0.59258574,3119.0
"study",0.63237154,3599.0
"gaming",0.5136704,3599.0
"design",0.5344936,3599.0
"dev",0.59336215,3599.0
"study",0.6278414,4999.0
"gaming",0.51091266,4999.0
"design",0.53677654,4999.0
"dev",0.59808046,4999.0
"study",0.605205,3974.0
"gaming",0.5037516,3974.0
"design",0.51392543,3974.0
"dev",0.57070506,3974.0
"study",0.61131203,3908.0
"gaming",0.5047015,3908.0
"design",0.51628083,3908.0
"dev",0.5746147,3908.0
"study",0.5742136,1940.0
"gaming",0.48291594,1940.0
"design",0.482222,1940.0
"dev",0.53632367,1940.0
"study",0.6070235,3269.0
"gaming",0.5043373,3269.0
"design",0.5155017,3269.0
"dev",0.5739771,3269.0
"study",0.62921244,4169.0
"gaming",0.5134021,4169.0
"design",0.53391963,4169.0
"dev",0.5928925,4169.0
"study",0.52598804,1690.0
"gaming",0.42951334,1690.0
"design",0.4120226,1690.0
"dev",0.48245978,1690.0
"study",0.57586986,2349.0
"gaming",0.47858685,2349.0
"design",0.48044443,2349.0
"dev",0.5353842,2349.0
"study",0.62500584,5099.0
"gaming",0.5578357,5099.0
"design",0.57014084,5099.0
"dev",0.59725356,5099.0
"study",0.59094584,2140.0
"gaming",0.4894508,2140.0
"design",0.5064011,2140.0
"dev",0.5624749,2140.0
"study",0.62403184,4199.0
"gaming",0.5153328,4199.0
"design",0.5401197,4199.0
"dev",0.5954551,4199.0
"study",0.3552839,1599.0
"gaming",0.38034922,1599.0
"design",0.33080626,1599.0
"dev",0.39210567,1599.0
"study",0.6090588,3029.0
"gaming",0.5040788,3029.0
"design",0.5146256,3029.0
"dev",0.571278,3029.0
"study",0.5999344,3199.0
"gaming",0.503304,3199.0
"design",0.5129678,3199.0
"dev",0.5699215,3199.0
"study",0.4855384,1259.0
"gaming",0.42571512,1259.0
"design",0.39374298,1259.0
"dev",0.4840316,1259.0
"study",0.632837,5990.0
"gaming",0.51880574,5990.0
"design",0.5374922,5990.0
"dev",0.5947316,5990.0
"study",0.57661515,1999.0
"gaming",0.47865012,1999.0
"design",0.48057985,1999.0
"dev",0.535495,1999.0
"study",0.57031596,2249.0
"gaming",0.48258495,2249.0
"design",0.48151383,2249.0
"dev",0.53574425,2249.0
"study",0.6044621,4699.0
"gaming",0.51542896,4699.0
"design",0.5466967,4699.0
"dev",0.5979415,4699.0
"study",0.52598804,2090.0
"gaming",0.42951334,2090.0
"design",0.4120226,2090.0
"dev",0.48245978,2090.0
"study",0.5637754,3019.0
"gaming",0.47545922,3019.0
"design",0.4752628,3019.0
"dev",0.5331757,3019.0
"study",0.4855384,1259.0
"gaming",0.42571512,1259.0
"design",0.39374298,1259.0
"dev",0.4840316,1259.0
"study",0.62384623,3699.0
"gaming",0.5100919,3699.0
"design",0.52629775,3699.0
"dev",0.58600354,3699.0
"study",0.6920293,5549.0
"gaming",0.53780097,5549.0
"design",0.59469,5549.0
"dev",0.6623389,5549.0
"study",0.63272816,3449.0
"gaming",0.5132693,3449.0
"design",0.53331256,3449.0
"dev",0.5904135,3449.0
"study",0.609761,4949.0
"gaming",0.5239248,4949.0
"design",0.5530346,4949.0
"dev",0.60898304,4949.0
"study",0.52613056,2179.0
"gaming",0.49964696,2179.0
"design",0.491332,2179.0
"dev",0.5170295,2179.0
"study",0.61047566,4149.0
"gaming",0.50419915,4149.0
"design",0.51488304,4149.0
"dev",0.5714886,4149.0
"study",0.70075,7490.0
"gaming",0.5752489,7490.0
"design",0.613556,7490.0
"dev",0.66687286,7490.0
"study",0.57031596,2434.0
"gaming",0.48258495,2434.0
"design",0.48151383,2434.0
"dev",0.53574425,2434.0
"study",0.60563785,2899.0
"gaming",0.5037883,2899.0
"design",0.51400405,2899.0
"dev",0.5707694,2899.0
"study",0.58135533,2099.0
"gaming",0.47905266,2099.0
"design",0.48144105,2099.0
"dev",0.5361997,2099.0
"study",0.6028471,3499.0
"gaming",0.5035513,3499.0
"design",0.51349705,3499.0
"dev",0.5703545,3499.0
"study",0.5637754,2599.0
"gaming",0.47545922,2599.0
"design",0.4752628,2599.0
"dev",0.5331757,2599.0
"study",0.60457844,4099.0
"gaming",0.50369835,4099.0
"design",0.5138116,4099.0
"dev",0.5706119,4099.0
"study",0.5986977,3099.0
"gaming",0.503199,3099.0
"design",0.5127432,3099.0
"dev",0.5697377,3099.0
"study",0.5263346,2299.0
"gaming",0.46737954,2299.0
"design",0.44845068,2299.0
